group1,group2,meandiff,lower,upper,reject
60% fieldwork hours,Arrive on time,1.0,0.657,1.343,True
60% fieldwork hours,Attend conferences,0.4448,0.1018,0.7878,True
60% fieldwork hours,BST case presentation,-0.1104,-0.4534,0.2326,False
60% fieldwork hours,Behavior skills training,0.5142,0.1712,0.8572,True
60% fieldwork hours,Confirm required skill set,0.1325,-0.2105,0.4755,False
60% fieldwork hours,Continue relationship,0.2839,-0.0591,0.6269,False
60% fieldwork hours,Create group activities,-1.3281,-1.671,-0.9851,True
60% fieldwork hours,Credentialing requirements,0.6508,0.0871,1.2145,True
60% fieldwork hours,Detect barriers to supervision,0.6025,0.2596,0.9455,True
60% fieldwork hours,Discourage distractions,0.7539,0.411,1.0969,True
60% fieldwork hours,Discuss how to give feedback,0.7287,0.3857,1.0717,True
60% fieldwork hours,Document feedback,0.0599,-0.283,0.4029,False
60% fieldwork hours,Evaluate client performance,-0.5457,-0.8887,-0.2028,True
60% fieldwork hours,Evaluate supervisee performance,-0.4132,-0.7562,-0.0703,True
60% fieldwork hours,Group supervision,-1.3028,-1.6458,-0.9599,True
60% fieldwork hours,Immediate feedback,0.4858,0.1428,0.8288,True
60% fieldwork hours,Include ethics,0.8833,0.5403,1.2263,True
60% fieldwork hours,Instructions and demonstration,0.7445,0.4015,1.0874,True
60% fieldwork hours,Literature for new competency,0.2366,-0.1064,0.5796,False
60% fieldwork hours,Maintain positive rapport,1.0757,0.7327,1.4187,True
60% fieldwork hours,Meeting notes,-0.2555,-0.5985,0.0874,False
60% fieldwork hours,Observe body language,0.6088,0.2659,0.9518,True
60% fieldwork hours,Participate in peer review,-0.4827,-0.9041,-0.0613,True
60% fieldwork hours,Peer evaluate,-1.5647,-1.9076,-1.2217,True
60% fieldwork hours,Performance expectations,0.7697,0.4267,1.1127,True
60% fieldwork hours,Positive and corrective feedback,0.9369,0.5939,1.2799,True
60% fieldwork hours,Practice skill set,0.2808,-0.0622,0.6237,False
60% fieldwork hours,Professional groups,-0.8991,-1.242,-0.5561,True
60% fieldwork hours,Return communications within 48,1.0252,0.6823,1.3682,True
60% fieldwork hours,Review literature,0.4953,0.1523,0.8382,True
60% fieldwork hours,Review supervision contract,0.9085,0.5655,1.2515,True
60% fieldwork hours,Schedule contacts,0.5678,0.2249,0.9108,True
60% fieldwork hours,Schedule direct observations,0.8391,0.4961,1.1821,True
60% fieldwork hours,Schedule standing appointments,0.4227,0.0797,0.7657,True
60% fieldwork hours,Seek mentorship,-0.1262,-0.4692,0.2168,False
60% fieldwork hours,Self-assess interpersonal skills,0.7035,0.3605,1.0464,True
60% fieldwork hours,Send agenda,-1.1514,-1.4944,-0.8084,True
60% fieldwork hours,Supervision fidelity,-1.0379,-1.3808,-0.6949,True
60% fieldwork hours,Supervision schedule,-0.4795,-0.8225,-0.1365,True
60% fieldwork hours,Supervision termination clause,1.082,0.739,1.425,True
60% fieldwork hours,Supervisory study groups,-1.4259,-1.7688,-1.0829,True
60% fieldwork hours,Take baseline,-0.5868,-0.9297,-0.2438,True
60% fieldwork hours,Training and supervision,0.7202,0.1565,1.2839,True
60% fieldwork hours,Written evaluation system,-0.1104,-0.4534,0.2326,False
60% fieldwork hours,Written supervision contract,1.1136,0.7706,1.4565,True
Arrive on time,Attend conferences,-0.5552,-0.8982,-0.2122,True
Arrive on time,BST case presentation,-1.1104,-1.4534,-0.7674,True
Arrive on time,Behavior skills training,-0.4858,-0.8288,-0.1428,True
Arrive on time,Confirm required skill set,-0.8675,-1.2105,-0.5245,True
Arrive on time,Continue relationship,-0.7161,-1.0591,-0.3731,True
Arrive on time,Create group activities,-2.3281,-2.671,-1.9851,True
Arrive on time,Credentialing requirements,-0.3492,-0.9129,0.2145,False
Arrive on time,Detect barriers to supervision,-0.3975,-0.7404,-0.0545,True
Arrive on time,Discourage distractions,-0.2461,-0.589,0.0969,False
Arrive on time,Discuss how to give feedback,-0.2713,-0.6143,0.0717,False
Arrive on time,Document feedback,-0.9401,-1.283,-0.5971,True
Arrive on time,Evaluate client performance,-1.5457,-1.8887,-1.2028,True
Arrive on time,Evaluate supervisee performance,-1.4132,-1.7562,-1.0703,True
Arrive on time,Group supervision,-2.3028,-2.6458,-1.9599,True
Arrive on time,Immediate feedback,-0.5142,-0.8572,-0.1712,True
Arrive on time,Include ethics,-0.1167,-0.4597,0.2263,False
Arrive on time,Instructions and demonstration,-0.2555,-0.5985,0.0874,False
Arrive on time,Literature for new competency,-0.7634,-1.1064,-0.4204,True
Arrive on time,Maintain positive rapport,0.0757,-0.2673,0.4187,False
Arrive on time,Meeting notes,-1.2555,-1.5985,-0.9126,True
Arrive on time,Observe body language,-0.3912,-0.7341,-0.0482,True
Arrive on time,Participate in peer review,-1.4827,-1.9041,-1.0613,True
Arrive on time,Peer evaluate,-2.5647,-2.9076,-2.2217,True
Arrive on time,Performance expectations,-0.2303,-0.5733,0.1127,False
Arrive on time,Positive and corrective feedback,-0.0631,-0.4061,0.2799,False
Arrive on time,Practice skill set,-0.7192,-1.0622,-0.3763,True
Arrive on time,Professional groups,-1.8991,-2.242,-1.5561,True
Arrive on time,Return communications within 48,0.0252,-0.3177,0.3682,False
Arrive on time,Review literature,-0.5047,-0.8477,-0.1618,True
Arrive on time,Review supervision contract,-0.0915,-0.4345,0.2515,False
Arrive on time,Schedule contacts,-0.4322,-0.7751,-0.0892,True
Arrive on time,Schedule direct observations,-0.1609,-0.5039,0.1821,False
